elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,adaptive,42,1.5,0,2.200,2.200,2.200,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,adaptive,42,1.5,1,0.172,0.517,0.517,1.600,3,0.000,0.4500,0,3,3,0,0,0,0,0,1,2
5.0,adaptive,42,1.5,2,0.000,0.000,0.000,1.100,2,0.000,0.5000,0,2,2,0,0,0,1,0,0,1
5.0,adaptive,42,1.5,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,0,1,0
10.0,adaptive,42,1.5,0,2.400,7.200,7.200,1.400,3,0.000,0.4500,0,3,3,0,0,0,0,1,2,0
10.0,adaptive,42,1.5,1,2.231,5.517,5.517,3.200,6,0.000,0.9000,0,6,6,0,0,0,1,1,2,2
10.0,adaptive,42,1.5,2,2.004,3.883,3.883,1.900,4,0.000,0.4000,0,4,4,0,0,0,1,0,0,3
10.0,adaptive,42,1.5,3,0.617,1.233,1.233,1.000,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
15.0,adaptive,42,1.5,0,2.181,7.200,7.200,2.067,4,8.000,0.6667,2,6,6,0,0,0,1,0,2,1
15.0,adaptive,42,1.5,1,4.300,7.800,7.800,3.633,6,8.000,0.6944,2,7,7,0,0,0,1,2,2,0
15.0,adaptive,42,1.5,2,4.694,8.517,8.517,2.467,5,4.000,0.4808,1,6,5,1,0,0,0,2,0,3
15.0,adaptive,42,1.5,3,1.546,4.950,4.950,1.400,3,4.000,0.2500,1,4,4,0,0,0,3,0,0,0
20.0,adaptive,42,1.5,0,4.750,8.800,8.800,2.550,4,6.000,0.6667,2,6,6,0,0,0,1,0,2,1
20.0,adaptive,42,1.5,1,6.102,12.800,12.800,4.175,7,6.000,0.7206,2,9,9,0,2,0,2,3,2,0
20.0,adaptive,42,1.5,2,4.658,13.517,13.517,4.175,11,3.000,0.7035,1,12,9,3,0,0,0,3,3,5
20.0,adaptive,42,1.5,3,3.100,9.950,9.950,2.050,6,3.000,0.4500,1,7,6,1,0,0,4,0,0,2
25.0,adaptive,42,1.5,0,5.860,10.517,10.517,2.660,4,9.600,0.4500,4,7,7,0,0,0,1,0,0,2
25.0,adaptive,42,1.5,1,8.233,17.800,17.800,4.660,7,9.600,0.6429,4,10,10,0,2,0,0,3,2,1
25.0,adaptive,42,1.5,2,6.231,16.117,16.117,5.200,12,14.400,0.5000,6,14,11,3,0,0,0,4,4,0
25.0,adaptive,42,1.5,3,3.388,10.950,10.950,2.640,6,12.000,0.6944,5,10,9,1,0,0,0,1,2,2
30.0,adaptive,42,1.5,0,6.679,15.983,15.983,3.567,12,8.000,0.4186,4,16,11,5,2,0,2,1,0,9
30.0,adaptive,42,1.5,1,10.000,22.800,22.800,4.900,7,8.000,0.6447,4,11,11,0,3,0,0,3,3,1
30.0,adaptive,42,1.5,2,8.026,21.117,21.117,5.983,12,12.000,0.4808,6,16,13,3,0,0,0,6,4,0
30.0,adaptive,42,1.5,3,4.791,10.950,10.950,3.067,6,10.000,0.6429,5,11,10,1,3,0,0,1,2,3
35.0,adaptive,42,1.5,0,9.141,19.983,19.983,4.743,13,13.714,0.4939,8,17,12,5,2,0,2,1,0,6
35.0,adaptive,42,1.5,1,11.706,27.800,27.800,5.214,8,6.857,0.6154,4,12,12,0,4,0,0,3,4,1
35.0,adaptive,42,1.5,2,10.032,26.117,26.117,6.800,12,10.286,0.5455,6,18,15,3,0,0,1,7,4,0
35.0,adaptive,42,1.5,3,5.904,14.467,14.467,3.700,9,8.571,0.6136,5,14,13,1,4,0,0,2,2,5
40.0,adaptive,42,1.5,0,9.015,20.417,20.417,4.875,13,21.000,0.4808,14,19,14,5,6,0,3,2,0,0
40.0,adaptive,42,1.5,1,11.676,28.817,28.817,5.325,8,12.000,0.5000,8,14,14,0,4,0,0,4,1,1
40.0,adaptive,42,1.5,2,12.127,31.117,31.117,7.638,14,9.000,0.5444,6,20,17,3,0,0,1,8,5,0
40.0,adaptive,42,1.5,3,7.341,17.467,17.467,4.287,10,15.000,0.6429,10,16,15,1,4,0,1,3,2,0
45.0,adaptive,42,1.5,0,10.358,25.417,28.800,5.111,13,18.667,0.6579,14,24,15,9,12,0,3,2,5,0
45.0,adaptive,42,1.5,1,11.444,29.817,33.817,5.833,13,10.667,0.5216,8,21,16,5,4,0,0,4,1,8
45.0,adaptive,42,1.5,2,12.265,26.733,31.117,7.833,14,18.667,0.4211,14,22,19,3,2,0,1,0,6,1
45.0,adaptive,42,1.5,3,8.020,21.533,21.533,4.578,10,13.333,0.5333,10,18,17,1,4,0,1,5,2,0
50.0,adaptive,42,1.5,0,11.051,30.417,32.267,5.660,13,16.800,0.7826,14,26,17,9,12,0,4,2,5,1
50.0,adaptive,42,1.5,1,13.651,34.817,38.817,6.510,13,10.800,0.4356,9,22,17,5,4,0,0,4,0,9
50.0,adaptive,42,1.5,2,11.859,31.117,31.733,8.090,14,16.800,0.5806,14,26,23,3,8,0,2,0,7,3
50.0,adaptive,42,1.5,3,9.686,26.533,26.533,5.020,10,12.000,0.5786,10,19,18,1,4,0,1,5,3,0
55.0,adaptive,42,1.5,0,12.570,35.417,37.267,6.255,13,15.273,0.7412,14,27,17,10,12,0,4,2,6,1
55.0,adaptive,42,1.5,1,14.980,37.817,41.817,7.082,14,14.182,0.2995,13,24,19,5,4,0,0,0,1,10
55.0,adaptive,42,1.5,2,12.507,33.417,36.733,8.600,15,15.273,0.6320,14,29,26,3,8,0,3,0,8,4
55.0,adaptive,42,1.5,3,10.906,28.233,31.533,5.455,11,10.909,0.6173,10,21,20,1,4,0,2,6,3,0
60.0,adaptive,42,1.5,0,13.273,40.417,42.267,6.858,15,15.000,0.6944,15,30,20,10,12,0,4,4,7,0
60.0,adaptive,42,1.5,1,15.167,37.817,41.817,7.592,14,13.000,0.4537,13,27,22,5,4,0,2,0,2,10
60.0,adaptive,42,1.5,2,14.926,38.417,41.733,9.133,15,14.000,0.6320,14,29,26,3,8,0,3,0,8,4
60.0,adaptive,42,1.5,3,14.301,37.817,41.817,5.892,11,16.000,0.8176,16,27,22,5,4,0,2,4,4,1
65.0,adaptive,42,1.5,0,15.146,43.400,47.267,7.315,15,17.538,0.4654,19,30,20,10,13,0,0,4,7,0
65.0,adaptive,42,1.5,1,16.340,39.650,41.817,8.146,16,12.000,0.5714,13,29,24,5,4,0,2,2,2,10
65.0,adaptive,42,1.5,2,15.692,42.417,45.733,9.669,18,15.692,0.7923,17,32,29,3,8,0,3,1,6,5
65.0,adaptive,42,1.5,3,14.328,38.233,41.817,6.123,11,18.462,0.6136,20,29,24,5,12,0,2,0,5,2
70.0,adaptive,42,1.5,0,15.436,48.400,52.267,7.679,15,16.286,0.5698,19,33,23,10,13,0,1,6,7,0
70.0,adaptive,42,1.5,1,18.244,42.667,44.650,8.907,21,11.143,0.7022,13,34,27,7,4,0,4,4,2,11
70.0,adaptive,42,1.5,2,16.959,42.417,45.733,9.736,18,18.857,0.6944,22,32,29,3,10,0,3,1,1,5
70.0,adaptive,42,1.5,3,14.818,41.817,43.233,6.379,11,17.143,0.8176,20,31,26,5,14,0,2,2,5,2
75.0,adaptive,42,1.5,0,16.869,53.400,57.267,8.120,15,15.200,0.6320,19,34,24,10,13,0,2,6,7,0
75.0,adaptive,42,1.5,1,19.001,42.967,44.667,9.413,21,19.200,0.6926,24,37,28,9,5,0,6,4,3,0
75.0,adaptive,42,1.5,2,16.816,42.417,45.733,9.773,18,18.400,0.6429,23,35,32,3,16,0,4,2,0,6
75.0,adaptive,42,1.5,3,15.342,45.583,48.233,6.720,12,16.800,0.8571,21,33,28,5,15,0,2,2,5,3
80.0,adaptive,42,1.5,0,18.752,58.400,62.267,8.512,15,17.250,0.5307,23,34,24,10,13,0,2,2,7,0
80.0,adaptive,42,1.5,1,20.136,44.667,47.967,9.681,21,18.000,0.6622,24,38,29,9,15,0,7,4,3,0
80.0,adaptive,42,1.5,2,16.960,45.550,45.733,10.044,18,17.250,0.7305,23,38,35,3,17,0,6,2,1,6
80.0,adaptive,42,1.5,3,14.854,47.583,50.233,6.987,12,19.500,0.8176,26,37,32,5,15,0,4,2,1,4
85.0,adaptive,42,1.5,0,18.952,63.400,67.267,8.606,15,17.647,0.5127,25,36,26,10,13,0,3,1,7,0
85.0,adaptive,42,1.5,1,20.887,44.667,52.967,10.012,21,16.941,0.7111,24,40,31,9,15,0,7,5,4,0
85.0,adaptive,42,1.5,2,20.378,50.233,52.717,10.500,24,16.941,0.8889,24,48,36,12,17,0,6,9,3,6
85.0,adaptive,42,1.5,3,15.145,47.583,50.233,7.247,12,19.059,0.7200,27,39,34,5,15,0,4,3,0,5
90.0,adaptive,42,1.5,0,20.221,68.400,72.267,8.689,15,17.333,0.4310,26,36,26,10,13,0,3,0,7,0
90.0,adaptive,42,1.5,1,20.693,44.667,57.967,10.406,21,16.000,0.7937,24,44,35,9,15,0,8,6,5,1
90.0,adaptive,42,1.5,2,20.108,53.733,55.600,11.522,31,16.000,0.9649,24,55,39,16,17,0,7,10,8,6
90.0,adaptive,42,1.5,3,16.155,47.583,50.233,7.550,13,18.000,0.7161,27,40,35,5,15,0,5,3,0,5
95.0,adaptive,42,1.5,0,19.947,73.400,77.267,8.821,15,16.421,0.4643,26,39,29,10,13,0,3,0,9,1
95.0,adaptive,42,1.5,1,21.674,46.733,62.967,10.984,22,15.158,0.7469,24,46,37,9,15,0,10,6,5,1
95.0,adaptive,42,1.5,2,21.420,55.550,60.600,12.311,31,19.579,0.7222,31,57,41,16,18,0,0,11,8,7
95.0,adaptive,42,1.5,3,17.755,50.233,51.717,7.837,13,17.053,0.7161,27,40,35,5,15,0,5,3,0,5
100.0,adaptive,42,1.5,0,19.168,53.933,81.267,9.135,17,18.000,0.7412,30,43,33,10,13,0,4,1,6,2
100.0,adaptive,42,1.5,1,23.773,50.750,66.983,11.505,22,16.800,0.8265,28,46,37,9,15,0,6,6,5,1
100.0,adaptive,42,1.5,2,22.918,57.500,65.600,13.050,31,18.600,0.7206,31,59,43,16,18,0,0,12,8,8
100.0,adaptive,42,1.5,3,18.535,50.233,55.550,8.120,17,19.800,0.6809,33,49,37,12,15,0,6,3,0,7
105.0,adaptive,42,1.5,0,18.936,53.933,81.267,9.119,17,20.571,0.6532,36,45,35,10,14,0,5,1,1,2
105.0,adaptive,42,1.5,1,25.077,50.750,66.983,11.600,22,19.429,0.5806,34,46,37,9,17,0,0,6,5,1
105.0,adaptive,42,1.5,2,24.802,62.500,70.600,13.786,31,17.714,0.7275,31,60,44,16,18,0,0,12,9,8
105.0,adaptive,42,1.5,3,17.968,50.233,55.550,8.500,17,22.286,0.6282,39,53,41,12,21,0,1,3,2,8
110.0,adaptive,42,1.5,0,18.875,53.933,81.267,9.177,17,20.182,0.6579,37,47,37,10,22,0,5,2,0,3
110.0,adaptive,42,1.5,1,24.271,50.750,66.983,11.691,22,18.545,0.6809,34,50,41,9,24,0,1,8,5,2
110.0,adaptive,42,1.5,2,26.281,63.517,75.600,14.532,31,16.909,0.7392,31,62,46,16,18,0,0,12,10,9
110.0,adaptive,42,1.5,3,18.990,50.233,55.550,8.714,17,21.818,0.5487,40,53,41,12,24,0,0,3,2,8
115.0,adaptive,42,1.5,0,19.872,53.933,81.267,9.213,17,19.304,0.6579,37,47,37,10,23,0,5,2,0,3
115.0,adaptive,42,1.5,1,24.221,54.233,66.983,11.970,22,17.739,0.7337,34,53,44,9,25,0,1,8,7,3
115.0,adaptive,42,1.5,2,27.817,66.150,80.600,15.139,32,20.870,0.5398,40,63,47,16,18,0,0,12,10,1
115.0,adaptive,42,1.5,3,19.133,52.317,55.550,8.939,17,20.870,0.6038,40,56,44,12,28,0,0,3,4,9
120.0,adaptive,42,1.5,0,23.573,67.983,81.267,9.421,20,18.500,0.5747,37,57,38,19,24,0,5,2,1,12
120.0,adaptive,42,1.5,1,26.200,56.000,66.983,12.242,22,17.500,0.7206,35,56,45,11,25,0,0,8,8,5
120.0,adaptive,42,1.5,2,29.085,71.150,85.600,15.471,32,20.500,0.5398,41,64,48,16,18,0,0,12,10,1
120.0,adaptive,42,1.5,3,18.128,50.650,55.550,9.154,18,24.000,0.8284,48,61,49,12,28,0,1,3,5,4
125.0,adaptive,42,1.5,0,23.252,69.283,81.267,9.940,25,17.760,0.6944,37,62,42,20,24,0,6,4,2,13
125.0,adaptive,42,1.5,1,27.309,59.967,66.983,12.768,28,16.800,0.7206,35,63,45,18,26,0,0,8,8,12
125.0,adaptive,42,1.5,2,30.804,76.150,90.600,15.772,32,19.680,0.5398,41,64,48,16,18,0,0,12,10,1
125.0,adaptive,42,1.5,3,17.848,51.883,55.550,9.312,18,24.480,0.7682,51,64,52,12,28,0,2,5,5,1
130.0,adaptive,42,1.5,0,23.994,71.300,81.267,10.412,25,21.692,0.9143,47,63,43,20,24,0,6,4,3,3
130.0,adaptive,42,1.5,1,27.439,63.383,66.983,13.308,28,18.923,0.5993,41,67,47,20,26,0,1,9,2,14
130.0,adaptive,42,1.5,2,31.067,81.150,95.600,16.081,32,19.385,0.5723,42,67,51,16,18,0,0,13,10,2
